     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
        17,         0,         0,   0.013,bposd,c86e250aeed5ddce0770098645c4d3a882c55370500f05fc16341394fa7a4cb3,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""l"":6,""m"":6,""nkd"":""[[72_12_6]]"",""noise"":""tham_modules"",""p"":0.003,""r"":6,""seq_gates"":""True""}",
        17,         0,         0,   0.011,bposd,808e5b7ea4c6f5536998ae05c72e8727474cc23443a39e4ea0ed42c60be8fd51,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""l"":6,""m"":6,""nkd"":""[[72_12_6]]"",""noise"":""tham_modules"",""p"":0.002,""r"":6,""seq_gates"":""True""}",
        17,         0,         0,   0.015,bposd,c86e250aeed5ddce0770098645c4d3a882c55370500f05fc16341394fa7a4cb3,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""l"":6,""m"":6,""nkd"":""[[72_12_6]]"",""noise"":""tham_modules"",""p"":0.003,""r"":6,""seq_gates"":""True""}",
        17,         1,         0,   0.063,bposd,9c395e5da693ec5bca36b53a3828bad1eacca60fb9cb8908f69dc78ad1a52f30,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""l"":6,""m"":6,""nkd"":""[[72_12_6]]"",""noise"":""tham_modules"",""p"":0.004,""r"":6,""seq_gates"":""True""}",
         1,         0,         0,   0.022,bposd,57327f1987d167cc6f0b3aa8a513eba5812c1faa4ef8a0ec703a9fe36421e7cc,"{""A"":""'900102'"",""B"":""'002070'"",""b"":""Z"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""tham_modules"",""p"":0.003,""r"":10,""seq_gates"":""True""}",
        17,         0,         0,   0.018,bposd,6a3a75b29c4e02a979fbefb6e3c6d74692fd342cbc7581672c71dd6c54cabaa6,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""l"":9,""m"":6,""nkd"":""[[108_8_10]]"",""noise"":""tham_modules"",""p"":0.001,""r"":10,""seq_gates"":""True""}",
         1,         0,         0,   0.012,bposd,e95c0aa26442258c629de177f71443ebe383f08d63d25191724f1c528dc9b1f7,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""l"":9,""m"":6,""nkd"":""[[108_8_10]]"",""noise"":""tham_modules"",""p"":0.005,""r"":10,""seq_gates"":""True""}",
        17,         0,         0,   0.023,bposd,e9b2e49b5b2e7b6c25ce8b1c82c7979984bf613098c36d91e2cb8f0040843338,"{""A"":""'900102'"",""B"":""'002070'"",""b"":""Z"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""tham_modules"",""p"":0.001,""r"":10,""seq_gates"":""True""}",
        17,         0,         0,   0.025,bposd,e9b2e49b5b2e7b6c25ce8b1c82c7979984bf613098c36d91e2cb8f0040843338,"{""A"":""'900102'"",""B"":""'002070'"",""b"":""Z"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""tham_modules"",""p"":0.001,""r"":10,""seq_gates"":""True""}",
       273,         0,         0,   0.077,bposd,191d7b165b8ddd71e2b31db3d0ea2297106ee1ea6cbf7f513a9ba953c529b557,"{""A"":""'300102'"",""B"":""'031020'"",""b"":""Z"",""l"":6,""m"":6,""nkd"":""[[72_12_6]]"",""noise"":""tham_modules"",""p"":0.001,""r"":6,""seq_gates"":""True""}",
        17,         0,         0,   0.033,bposd,2c0bb16a5dd60d6f41fc62f046e4974229a6e94c3e013e7d282e513af097c0ac,"{""A"":""'900102'"",""B"":""'002070'"",""b"":""Z"",""l"":15,""m"":3,""nkd"":""[[90_8_10]]"",""noise"":""tham_modules"",""p"":0.002,""r"":10,""seq_gates"":""True""}",
